Date,Open,High,Low,Close,Volume,Adj Close
2013-01-21,39.475,39.59,39.285,39.42,1691000,32.85806
2013-01-18,39.965,39.965,39.265,39.31,4796700,32.76637
2013-01-17,39.87,39.97,39.635,39.71,3498200,33.09979
2013-01-16,39.825,39.995,39.61,39.895,3036300,33.25399
2013-01-15,39.555,40.00,39.46,39.73,4311700,33.11646
2013-01-14,39.78,39.84,39.34,39.61,3061600,33.01643
2013-01-11,39.595,39.73,39.24,39.485,3145800,32.91224
2013-01-10,39.62,39.775,39.355,39.55,3608800,32.96642
2013-01-09,39.64,39.72,39.445,39.53,3292900,32.94975
2013-01-08,39.09,39.43,39.03,39.385,2661700,32.82889
2013-01-07,39.745,39.775,39.08,39.155,4191400,32.63717
2013-01-04,39.88,40.00,39.68,39.82,3317500,33.19148
2013-01-03,39.85,39.975,39.47,39.855,2898900,33.22065
2013-01-02,39.795,40.10,39.45,39.975,5127800,33.32067
2013-01-01,39.01,39.01,39.01,39.01,000,32.51631
2012-12-31,38.71,39.445,38.71,39.01,1581200,32.51631
2012-12-28,39.63,39.75,38.855,38.91,3015500,32.43296
2012-12-27,39.60,39.94,39.35,39.515,3466800,32.93725
2012-12-26,39.20,39.20,39.20,39.20,000,32.67468
2012-12-25,39.20,39.20,39.20,39.20,000,32.67468
2012-12-24,39.25,39.44,39.07,39.20,920900,32.67468
2012-12-21,38.895,39.295,38.64,39.205,9480400,32.67885
2012-12-20,39.10,39.265,38.965,38.965,5085900,32.4788
2012-12-19,39.245,39.635,39.155,39.20,4352800,32.67468
2012-12-18,39.24,39.26,38.865,39.055,4968200,32.55382
2012-12-17,38.89,39.14,38.67,39.14,4290400,32.62467
2012-12-14,39.545,39.635,39.225,39.46,4654100,32.39961
2012-12-13,39.68,39.88,39.48,39.72,4081800,32.6131
2012-12-12,39.25,39.70,39.095,39.66,4368200,32.56383
2012-12-11,38.89,39.305,38.76,39.305,4736800,32.27235
2012-12-10,38.255,38.775,38.06,38.635,3642600,31.72223
2012-12-07,38.755,38.90,38.195,38.275,4963200,31.42664
